#SHEETINFO | name=Kl5SP Ułamki zwykłe,,,,,
Teoria: https://matematyka.wiki/ulamki-zwykle,,,,,
,,,,,
Co oznacza licznik ułamka?,"Liczba części, które bierzemy.",,,,
Co oznacza mianownik ułamka?,"Liczba wszystkich równych części, na które podzielono całość.",,,,
"Jak nazywa się ułamek, w którym licznik jest mniejszy od mianownika?",Ułamek właściwy.,,,,
"Jak nazywa się ułamek, w którym licznik jest większy lub równy mianownikowi?",Ułamek niewłaściwy.,,,,
Co to jest ułamek nieskracalny?,"Ułamek, którego górnej i dolnej liczby nie da się już podzielić przez tę samą liczbę (inną niż 1), aby go uprościć. Jest już w ""najprostszej"" postaci.

Przykład:
\( \frac{1}{2} \) (nie da się uprościć)
\( \frac{3}{5} \) (nie da się uprościć)
Nie jest nieskracalny.

\( \frac{2}{4} \) (licznik i mianownik można podzielić przez 2, aby otrzymać \( \frac{1}{2} \) )
\( \frac{6}{9} \) (licznik i mianownik można podzielić przez 3, aby otrzymać \( \frac{2}{3} \) )",,,,
,,,,,
Jaką częścią figury jest zamalowana jedna z trzech równych części?,\( \frac{1}{3} \) ,,,,
Jaką częścią godziny jest 15 minut?,\( \frac{1}{4} \) ,,,,
Podaj przykład ułamka właściwego o mianowniku 5.,"Na przykład: \( \frac{1}{5} \) , \( \frac{2}{5} \) , \( \frac{3}{5} \) , \( \frac{4}{5} \) ",,,,
Podaj przykład ułamka niewłaściwego o liczniku 8.,"Na przykład: \( \frac{8}{8} \) , \( \frac{8}{7} \) , \( \frac{8}{5} \) ",,,,
,,,,,
"=""Zamień ułamek niewłaściwy \( \frac{""&R17&""}{""&Q17&""} \) na liczbę mieszaną.""","=""\( ""&S17&"" \frac{""&T17&""}{""&Q17&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q17;49)+1,=ROUNDDOWN(R17/Q17),=MOD(R17;Q17)
"=""Zamień ułamek niewłaściwy \( \frac{""&R18&""}{""&Q18&""} \) na liczbę mieszaną.""","=""\( ""&S18&"" \frac{""&T18&""}{""&Q18&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q18;49)+1,=ROUNDDOWN(R18/Q18),=MOD(R18;Q18)
"=""Zamień ułamek niewłaściwy \( \frac{""&R19&""}{""&Q19&""} \) na liczbę mieszaną.""","=""\( ""&S19&"" \frac{""&T19&""}{""&Q19&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q19;49)+1,=ROUNDDOWN(R19/Q19),=MOD(R19;Q19)
"=""Zamień ułamek niewłaściwy \( \frac{""&R20&""}{""&Q20&""} \) na liczbę mieszaną.""","=""\( ""&S20&"" \frac{""&T20&""}{""&Q20&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q20;49)+1,=ROUNDDOWN(R20/Q20),=MOD(R20;Q20)
"=""Zamień ułamek niewłaściwy \( \frac{""&R21&""}{""&Q21&""} \) na liczbę mieszaną.""","=""\( ""&S21&"" \frac{""&T21&""}{""&Q21&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q21;49)+1,=ROUNDDOWN(R21/Q21),=MOD(R21;Q21)
"=""Zamień ułamek niewłaściwy \( \frac{""&R22&""}{""&Q22&""} \) na liczbę mieszaną.""","=""\( ""&S22&"" \frac{""&T22&""}{""&Q22&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q22;49)+1,=ROUNDDOWN(R22/Q22),=MOD(R22;Q22)
,,,,,
"=""Zamień liczbę mieszaną \( ""&S24&"" \frac{""&T24&""}{""&Q24&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R24&""}{""&Q24&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q24;49)+1,=ROUNDDOWN(R24/Q24),=MOD(R24;Q24)
"=""Zamień liczbę mieszaną \( ""&S25&"" \frac{""&T25&""}{""&Q25&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R25&""}{""&Q25&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q25;49)+1,=ROUNDDOWN(R25/Q25),=MOD(R25;Q25)
"=""Zamień liczbę mieszaną \( ""&S26&"" \frac{""&T26&""}{""&Q26&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R26&""}{""&Q26&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q26;49)+1,=ROUNDDOWN(R26/Q26),=MOD(R26;Q26)
"=""Zamień liczbę mieszaną \( ""&S27&"" \frac{""&T27&""}{""&Q27&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R27&""}{""&Q27&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q27;49)+1,=ROUNDDOWN(R27/Q27),=MOD(R27;Q27)
"=""Zamień liczbę mieszaną \( ""&S28&"" \frac{""&T28&""}{""&Q28&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R28&""}{""&Q28&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q28;49)+1,=ROUNDDOWN(R28/Q28),=MOD(R28;Q28)
"=""Zamień liczbę mieszaną \( ""&S29&"" \frac{""&T29&""}{""&Q29&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R29&""}{""&Q29&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q29;49)+1,=ROUNDDOWN(R29/Q29),=MOD(R29;Q29)
"=""Zamień liczbę mieszaną \( ""&S30&"" \frac{""&T30&""}{""&Q30&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R30&""}{""&Q30&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q30;49)+1,=ROUNDDOWN(R30/Q30),=MOD(R30;Q30)
"=""Zamień liczbę mieszaną \( ""&S31&"" \frac{""&T31&""}{""&Q31&""} \) na ułamek niewłaściwy.""","=""\( \frac{""&R31&""}{""&Q31&""} \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q31;49)+1,=ROUNDDOWN(R31/Q31),=MOD(R31;Q31)
,,,,,
Zamień ułamek niewłaściwy \( \frac{7}{3} \) na liczbę mieszaną.,\( 2 \frac{1}{3} \) ,,,,
Zamień liczbę mieszaną \( 3 \frac{1}{2} \) na ułamek niewłaściwy.,\( \frac{7}{2} \) ,,,,
,,,,,
Uprość ułamek \( \frac{4}{6} \) .,\( \frac{2}{3} \) ,,,,
