#SHEETINFO | name=Kl5P Liczebniki,
Jaką częścią mowy jest liczebnik?,Samodzielną i odmienną.
Na jakie pytania odpowiada liczebnik?,Ile? Który z kolei?
Co oznaczają liczebniki?,"Liczbę, ilość, kolejność lub wielokrotność."
Wymień pięć głównych rodzajów liczebników.,"# główne
# porządkowe
# zbiorowe
# ułamkowe
# nieokreślone"
"Jaki to rodzaj liczebnika: jeden, pięć, sto?",Liczebnik główny.
"Jaki to rodzaj liczebnika: pierwszy, piąty, setny?",Liczebnik porządkowy.
"Jaki to rodzaj liczebnika: dwoje, pięcioro, dziesięcioro?",Liczebnik zbiorowy.
"Jaki to rodzaj liczebnika: pół, ćwierć, półtora?",Liczebnik ułamkowy.
"Jaki to rodzaj liczebnika: kilka, wielu, kilkanaście?",Liczebnik nieokreślony.
"Przez co odmieniają się liczebniki główne (np. dwa, trzy)?",Przez przypadki i rodzaje.
"Przez co odmieniają się liczebniki porządkowe (np. pierwszy, ósmy)?","Przez przypadki, liczby i rodzaje (podobnie jak przymiotniki)."
"Z jakimi rzeczownikami łączą się liczebniki zbiorowe (np. dwoje, troje)?","# z nazwami istot niedorosłych (np. dzieci, szczenięta)
# z rzeczownikami występującymi tylko w liczbie mnogiej (np. drzwi, skrzypce)
# grupami mieszanymi płciowo"
Zastąp cyfrę odpowiednim słowem: (2) dziewczynki.,Dwie.
Zastąp cyfrę odpowiednim słowem: (2) chłopców.,Dwóch.
Zastąp cyfrę odpowiednim słowem: (2) dzieci.,Dwoje.
"W jakim przypadku znajduje się rzeczownik występujący w mianowniku po liczebniku od 5 wzwyż (np. pięć kotów, osiem domów)?",W dopełniaczu (liczby mnogiej).
Podaj przypadek liczebnika w wyrażeniu: „z siedmioma krasnoludkami”.,Narzędnik.
Podaj przypadek liczebnika w wyrażeniu: „przyglądam się trzem obrazom”.,Celownik.
Podaj przypadek liczebnika w wyrażeniu: „nie widzę dwóch kolegów”.,Dopełniacz.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „pierwszy zawodnik”.","Mianownik, liczba pojedyncza, rodzaj męski."
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „o drugiej klasie”.","Miejscownik, liczba pojedyncza, rodzaj żeński."
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „z trzecim oknem”.","Narzędnik, liczba pojedyncza, rodzaj nijaki."
Utwórz liczebnik porządkowy od liczby 16.,Szesnasty.
Utwórz liczebnik zbiorowy od liczby 6.,Sześcioro.
Podaj poprawną formę wyrażenia: „W klasie jest (7) (uczeń)”.,Siedmiu uczniów.
Jak poprawnie przeczytać datę: 14 luty czy 14 lutego?,"Czternasty lutego (odmienia się tylko dzień, miesiąc zostaje w dopełniaczu)."
Jak poprawnie zapisać słownie wyrażenie: (1) maj?,Pierwszy maja.
"Jaką częścią mowy są słowa „tysiąc”, „milion”, „miliard”?",To liczebniki główne (mające odmianę rzeczownikową).
Wskaż liczebnik i określ jego rodzaj w zdaniu: „Na drzewie siedziało kilka ptaków”.,„Kilka” - liczebnik nieokreślony.
,
Jaki to rodzaj liczebnika: „półtorej”?,Liczebnik ułamkowy.
Jaki to liczebnik: „ośmioro”?,Liczebnik zbiorowy.
Zidentyfikuj rodzaj liczebnika w wyrażeniu: „pięćdziesiąta rocznica”.,Liczebnik porządkowy.
Jaki to rodzaj liczebnika: „półtora”?,Liczebnik ułamkowy.
"Jakimi liczebnikami są słowa: „czworo, sześcioro, jedenaścioro”?",Liczebnikami zbiorowymi.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „siedzę w piątej ławce”.","Miejscownik, liczba pojedyncza, rodzaj żeński."
Jaki to rodzaj liczebnika: „dwanaście”?,Liczebnik główny.
Zidentyfikuj rodzaj liczebnika w wyrażeniu: „siedmioro szczeniąt”.,Liczebnik zbiorowy.
Zapisz słownie liczebnik z nawiasu: Rozmawiam z (4) dziewczynami.,czterema.
Wskaż liczebnik w zdaniu i określ jego rodzaj: „To mój trzeci błąd”.,trzeci - liczebnik porządkowy.
Określ przypadek liczebnika zbiorowego w wyrażeniu: „brakuje pięciorga kurcząt”.,Dopełniacz.
Wskaż liczebnik w zdaniu i określ jego rodzaj: „Widzę pięcioro dzieci”.,pięcioro - liczebnik zbiorowy.
Jaki to rodzaj liczebnika: „pół”?,Liczebnik ułamkowy.
Zapisz słownie liczebnik z nawiasu: Mam w domu (2) psy.,dwa.
Określ przypadek i rodzaj liczebnika w wyrażeniu: „idę z siedmioma siostrami”.,"Narzędnik, główny, rodzaj niemęskoosobowy."
Nazwij podany liczebnik: „dziesięcioro”.,Liczebnik zbiorowy.
Zidentyfikuj rodzaj liczebnika w wyrażeniu: „miliard gwiazd”.,Liczebnik główny.
Wskaż liczebnik w zdaniu: „W koszyku leży dwanaście jabłek”.,dwanaście.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „to jest trzecie okno”.","Mianownik, liczba pojedyncza, rodzaj nijaki."
Jaki to rodzaj liczebnika: „mnóstwo”?,Liczebnik nieokreślony.
Wskaż liczebnik w zdaniu: „Do kina poszło wczoraj kilkunastu uczniów z naszej klasy”.,kilkunastu.
Określ przypadek liczebnika zbiorowego w wyrażeniu: „spaceruję z dwojgiem dzieci”.,Narzędnik.
Zapisz słownie liczebnik z nawiasu: Opowiadam o (3) filmach.,trzech.
Określ przypadek i rodzaj liczebnika w wyrażeniu: „nie ma dwóch chłopców”.,"Dopełniacz, rodzaj męskoosobowy."
Określ przypadek liczebnika zbiorowego w wyrażeniu: „myślę o czworgu skrzypcach”.,Miejscownik.
Nazwij podany liczebnik: „kilka”.,Liczebnik nieokreślony.
Zapisz słownie liczebnik z nawiasu: Idę do kina z (2) kolegami.,dwoma.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „to jest jeden stół”.","Mianownik, liczba pojedyncza, rodzaj męski."
Określ przypadek liczebnika zbiorowego w wyrażeniu: „przyglądam się trojgu drzwiom”.,Celownik.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „daję prezent pierwszemu dziecku”.","Celownik, liczba pojedyncza, rodzaj nijaki."
Zidentyfikuj rodzaj liczebnika w wyrażeniu: „jedna druga szklanki”.,Liczebnik ułamkowy.
Jaki to rodzaj liczebnika: „kilkunastu”?,Liczebnik nieokreślony.
Wskaż liczebnik w zdaniu: „Do upieczenia ciasta potrzebuję pół kilograma mąki”.,pół.
Nazwij podany liczebnik: „dwudziesty pierwszy”.,Liczebnik porządkowy.
Zidentyfikuj rodzaj liczebnika w wyrażeniu: „sporo ludzi”.,Liczebnik nieokreślony.
Wskaż liczebnik w zdaniu: „Na placu zabaw bawiło się czworo przedszkolaków”.,czworo.
Zapisz słownie liczebnik z nawiasu: Daję karmę (5) kotom.,pięciu.
Jaki to rodzaj liczebnika: „tysięczny”?,Liczebnik porządkowy.
Zapisz słownie liczebnik z nawiasu: Idę do teatru z (2) koleżankami.,dwiema.
Jaki to liczebnik: „dwie trzecie”?,Liczebnik ułamkowy.
"Określ przypadek, liczbę i rodzaj liczebnika w wyrażeniu: „rozmawiam z ósmym zawodnikiem”.","Narzędnik, liczba pojedyncza, rodzaj męski."
Nazwij podany liczebnik: „troje”.,Liczebnik zbiorowy.
Określ przypadek i rodzaj liczebnika w wyrażeniu: „widzę osiem drzew”.,"Biernik, rodzaj niemęskoosobowy."
"Jakimi liczebnikami są słowa: „kilka, kilkanaście, wielu”?",Liczebnikami nieokreślonymi.
